L1,L2,L3,AIC,MAE,RMSE,R2,TTP
32,0,0,-32152.20612,0.201824647,0.308397343,0.609001477,6
32,0,0,-32230.71742,0.201915838,0.307513064,0.61124051,6
32,0,64,-31929.65853,0.200304881,0.310917757,0.602584397,6
32,0,64,-31989.82877,0.200227938,0.310234287,0.604329701,6
32,0,128,-32065.70066,0.201323365,0.309374605,0.606519526,6
32,0,128,-32272.85293,0.200407096,0.307039535,0.612436864,6
32,0,192,-31805.53326,0.201933624,0.312332448,0.598959648,6
32,0,192,-31560.35071,0.201858614,0.315145806,0.591702306,6
32,0,256,-31963.84485,0.200397993,0.310529252,0.603576951,6
32,0,256,-32153.70832,0.201164584,0.308380399,0.609044438,6
32,64,0,-32024.96852,0.201465997,0.309835832,0.60534542,6
32,64,0,-31946.08095,0.201531245,0.310731066,0.603061509,6
200,64,192,-32440.54277,0.206412971,0.305162209,0.617161715,2457606
144,128,64,-32417.50602,0.202072478,0.305419429,0.616516057,1179654
88,256,256,-32401.25527,0.204517361,0.305601009,0.616059938,5767174
256,192,256,-32395.62286,0.203920151,0.305663969,0.615901723,12582918
32,192,128,-32383.78577,0.204360096,0.305796328,0.615569006,786438
256,256,64,-32379.97674,0.203162186,0.305838931,0.615461881,4194310
144,256,64,-32379.52407,0.20393662,0.305843995,0.615449148,2359302
256,192,128,-32344.73094,0.202344556,0.306233434,0.614469207,6291462
32,128,0,-32007.2246,0.200857422,0.310036969,0.604832856,6
32,128,0,-32092.80058,0.200952758,0.309068121,0.607298747,6
88,128,64,-32342.13754,0.201932355,0.306262482,0.614396065,720902
32,256,192,-32341.88967,0.200995484,0.306265258,0.614389073,1572870
200,256,128,-32338.53486,0.201848958,0.306302838,0.614294434,6553606
32,128,256,-32333.95533,0.200448953,0.306354146,0.614165209,1048582
144,256,256,-32310.21488,0.201844554,0.306620262,0.613494603,9437190
32,192,64,-32293.25316,0.20232617,0.306810534,0.613014765,393222
88,256,256,-32284.20536,0.202204222,0.306912078,0.612758564,5767174
200,256,128,-32283.58796,0.200694107,0.306919008,0.612741075,6553606
32,192,0,-32031.06798,0.200942927,0.309766722,0.60552146,6
32,192,0,-32121.52424,0.201818855,0.308743606,0.608122971,6
200,256,192,-32279.3372,0.202672711,0.306966727,0.612620645,9830406
256,192,192,-32272.54746,0.203340569,0.307042965,0.612428204,9437190
200,64,192,-32261.68499,0.200935421,0.307164972,0.612120132,2457606
32,256,256,-32249.03044,0.201972049,0.307307168,0.611760925,2097158
88,192,192,-32240.00835,0.200997537,0.307408587,0.611504624,3244038
88,64,192,-32233.12305,0.204819597,0.307486009,0.611308912,1081350
32,192,256,-32229.5769,0.201394901,0.307525892,0.611208076,1572870
256,256,128,-32228.23476,0.200791932,0.307540987,0.611169904,8388614
32,256,0,-31962.06498,0.200600605,0.310549467,0.603525336,6
32,256,0,-32018.52949,0.200494662,0.309908807,0.605159494,6
144,128,128,-32221.00389,0.201913064,0.307622331,0.61096419,2359302
32,128,64,-32216.76199,0.201224014,0.307670059,0.610843459,262150
32,64,64,-32206.30641,0.20123313,0.307787735,0.610545719,131078
200,192,256,-32203.93137,0.201796909,0.307814472,0.610478053,9830406
88,192,256,-32201.73257,0.202325292,0.307839227,0.610415399,4325382
32,64,192,-32200.48066,0.201465115,0.307853322,0.610379722,393222
200,128,192,-32195.37486,0.20115661,0.307910816,0.61023418,4915206
200,64,256,-32192.99844,0.202536221,0.307937579,0.610166421,3276806
88,0,0,-31799.1169,0.200718548,0.312405752,0.598771379,6
88,0,0,-31931.14093,0.199537326,0.3109009,0.602627488,6
